ID,Name,SMILES,ECOLI
229,Aldotetraouronic acid,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]2[C@H](O[C@@H]3CO[C@@H](O[C@@H]4COC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)OC[C@@H](O)[C@@H]2O)O[C@@H]1C(=O)O,False
230,Diamide,CN(C)C(=O)/N=N/C(=O)N(C)C,False
231,Tert-butyl hydroperoxide,CC(C)(C)OO,False
232,Cumene hydroperoxide,CC(C)(OO)c1ccccc1,False
233,Galangin,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,False
234,Tamarixetin,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,False
235,2-methylcitrate,CC(C(=O)O)C(O)(CC(=O)O)C(=O)O,True
236,2-keto-3-deoxy-6-phosphogluconate,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O,True
237,Mannose-6-phosphate,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,True
238,Formaldehyde,C=O,True
239,Methylglyoxal,CC(=O)C=O,True
240,Rhamnulose-1-phosphate,C[C@H](O)[C@@H](O)[C@H](O)C(=O)COP(=O)(O)O,True
241,Raffinose,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,False
242,"3,3'-neotrehalosadiamine",N[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](N)[C@H]2O)O[C@H](CO)[C@H]1O,False
243,Ramoplanin,CCCC=CC=CC(O)=NC(CC(=N)O)C(O)=NC(CC(=N)O)C(O)=NC(C(O)=NC(CCCN)C(O)=NC(C(O)=NC(C(O)=NC(C(O)=NC(C(O)=NC(Cc1ccccc1)C(O)=NC(CCCN)C(O)=NC(C(O)=NC(C(O)=NC(C(O)=NCC(O)=NC(CC(C)C)C(O)=NC(C)C(O)=NC(C(=O)O)C1CCC(O)C(Cl)C1)C1CCC(O)CC1)C(C)O)C1CCC(O)CC1)C(C)O)C1CCC(O)CC1)C1CCC(O)CC1)C(C)O)C1CCC(O)CC1,False
244,P-coumaric acid,O=C(O)/C=C/c1ccc(O)cc1,False
245,Citrate,O=C(O)CC(O)(CC(=O)O)C(=O)O,True
246,Tungsten,[W],True
247,Glycine,NCC(=O)O,True
248,N-acetylmuramate-6-phosphate,CC(O)=N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O,True
249,Pyruvate,CC(=O)C(=O)O,True
250,Glycolate,O=C(O)CO,True
251,Adenosine diphosphate ribose,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,True
252,4-hydroxyphenylpyruvate,O=C(O)C(=O)Cc1ccc(O)cc1,True
253,L-malate,O=C(O)C[C@@H](O)C(=O)O,True
254,Paraquat,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,False
255,Ethanolamine,NCCO,True
256,"Ll-2,6-diaminopimelate",N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,True
257,Biotin,O=C(O)CCCC[C@@H]1SC[C@@H]2N=C(O)N[C@@H]21,True
258,2-acetolactate,CC(=O)C(C)(O)C(=O)O,True
259,Acetohydroxybutyrate,CCC(O)(C(C)=O)C(=O)O,True
260,Gamma-aminobutyric acid,NCCCC(=O)O,True
261,Deoxyribose-5-phosphate,O=P(O)(O)OCC1OC(O)CC1O,True
262,Maltose-6-phosphate,O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,True
263,"4,5-dihydroxypentan-2,3-dione",CC(=O)C(=O)C(O)CO,True
264,Nad,N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,True
265,Pyrimidine nucleoside,OC[C@H]1O[C@@H]([n+]2cccnc2)[C@H](O)[C@@H]1O,False
266,Taurine,NCCS(=O)(=O)O,True
267,Fructoselysine 6-phosphate,N[C@@H](CCCCNCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)C(=O)O,False
268,Flavin mononucleotide,Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,True
269,2-deoxy-5-keto-d-gluconate 6-phosphate,O=C(O)C[C@@H](O)[C@H](O)C(=O)COP(=O)(O)O,False
270,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,True
271,"4,5-dihydroxy-2,3-pentanedione",CC(=O)C(=O)[C@@H](O)CO,True
272,Autoinducer-2,C[C@]12OC[C@H](O)[C@@]1(O)O[B-](O)(O)O2,False
273,"(2r,4s)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",C[C@@]1(O)OC[C@H](O)C1(O)O,False
274,"(4s)-4-hydroxy-5-phosphooxypentane-2,3-dione",CC(=O)C(=O)[C@@H](O)COP(=O)(O)O,False
275,R6g,CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccc(C(O)=NCCCCCCO)cc3C(=O)O)c-2cc1C,False
276,L-arginine,N=C(N)NCCC[C@H](N)C(=O)O,True
277,5-ketogluconate,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,True
278,L-homocysteine,N[C@@H](CCS)C(=O)O,True
279,Hypoxanthine,Oc1ncnc2[nH]cnc12,True
280,Menadione,CC1=CC(=O)c2ccccc2C1=O,False
281,Phenazine methosulfate,C[n+]1c2ccccc2nc2ccccc21,False
282,Plumbagin,CC1=CC(=O)c2c(O)cccc2C1=O,False
