,Resultado
37,O=C(O)CC(O)(CC(=O)C(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106486_MNXM46$4.1.3.17
38,CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106487_MNXM46$2.1.3.1
39,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106487_MNXM46$2.1.3.1
40,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(O)(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106488_MNXM46$4.1.3.34
41,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106494_MNXM46$2.6.1.35
42,O=CC(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106494_MNXM46$2.6.1.35
43,O=C(O)C(=O)C(C(=O)O)C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106549_MNXM46$4.1.3.13
44,C=C(OP(=O)(O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106653_MNXM46$4.1.1.32;4.1.1.49
45,O=C=O$O=C(O)CC(=O)C(=O)O$MNXR106653_MNXM46$4.1.1.32;4.1.1.49
46,O=P(O)(O)OP(=O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O$O=C(O)CC(=O)C(=O)O$MNXR106653_MNXM46$4.1.1.32;4.1.1.49
47,CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106756_MNXM46$2.1.3.1
48,CC(C(=O)O)C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$O=C(O)CC(=O)C(=O)O$MNXR106756_MNXM46$2.1.3.1
49,COC(=O)CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106839_MNXM46$3.1.1.44
50,O$O=C(O)CC(=O)C(=O)O$MNXR106839_MNXM46$3.1.1.44
51,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR106997_MNXM46$1.1.99.7
52,Cc1ncc(CO)c(C=O)c1O$O=C(O)CC(=O)C(=O)O$MNXR107139_MNXM46$2.6.1.31
53,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR107139_MNXM46$2.6.1.31
54,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR107146_MNXM46$2.6.1.57;2.6.1.78
55,O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1$O=C(O)CC(=O)C(=O)O$MNXR107146_MNXM46$2.6.1.57;2.6.1.78
56,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR109293_MNXM46$2.6.1.21
57,O=C(O)C(=O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR109293_MNXM46$2.6.1.21
58,NC(C(=O)O)C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR109814_MNXM46$4.3.1.16
59,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR110863_MNXM46$1.4.1.21
60,O$O=C(O)CC(=O)C(=O)O$MNXR110863_MNXM46$1.4.1.21
61,NC(C(=O)O)C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR113096_MNXM46$4.3.1.27
62,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR114980_MNXM46$1.4.1.21
63,O$O=C(O)CC(=O)C(=O)O$MNXR114980_MNXM46$1.4.1.21
64,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR116038_MNXM46$1.1.5.4
65,C=C(OP(=O)(O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR116110_MNXM46$4.1.1.31
66,O=C(O)O$O=C(O)CC(=O)C(=O)O$MNXR116110_MNXM46$4.1.1.31
67,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR116527_MNXM46$1.1.1.299
68,CC(CCNC(=N)N)C(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR116957_MNXM46$2.6.1
69,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR116957_MNXM46$2.6.1
70,O=C(O)CC(O)(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR124552_MNXM46$2.3.3.8
71,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR125757_MNXM46$2.6.1.70
72,O=C(O)C(=O)Cc1ccccc1$O=C(O)CC(=O)C(=O)O$MNXR125757_MNXM46$2.6.1.70
73,O=C(O)C=C(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR125856_MNXM46$5.3.2.2
74,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR126132_MNXM46$1.1.99.16
75,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR129268_MNXM46$1.1.99.40
76,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR129412_MNXM46$1.1.1.37
77,C=C(OP(=O)(O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR129496_MNXM46$4.1.1.32
78,N=c1nc(O)c2ncn(C3CC(O)C(COP(=O)(O)OP(=O)(O)O)O3)c2[nH]1$O=C(O)CC(=O)C(=O)O$MNXR129496_MNXM46$4.1.1.32
79,O=C=O$O=C(O)CC(=O)C(=O)O$MNXR129496_MNXM46$4.1.1.32
80,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR129603_MNXM46$1.1.1.37
81,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR131030_MNXM46$2.6.1.7
82,Nc1ccccc1C(=O)CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR131030_MNXM46$2.6.1.7
83,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR131033_MNXM46$2.6.1.7
84,Nc1c(O)cccc1C(=O)CC(=O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR131033_MNXM46$2.6.1.7
85,CNC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR133833_MNXM46$1.4.3.1;1.4.3.3
86,O$O=C(O)CC(=O)C(=O)O$MNXR133833_MNXM46$1.4.3.1;1.4.3.3
87,C=C(OP(=O)(O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR134027_MNXM46$4.1.1.32
88,O=C=O$O=C(O)CC(=O)C(=O)O$MNXR134027_MNXM46$4.1.1.32
89,O=P(O)(O)OP(=O)(O)OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O$O=C(O)CC(=O)C(=O)O$MNXR134027_MNXM46$4.1.1.32
90,O=C(O)CCc1c(O)cc(C(=O)O)[nH+]c1O$O=C(O)CC(=O)C(=O)O$MNXR134212_MNXM46$NOEC
91,O=O$O=C(O)CC(=O)C(=O)O$MNXR134212_MNXM46$NOEC
92,NC(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR134505_MNXM46$2.6.1.21
93,O=C(O)C(=O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR134505_MNXM46$2.6.1.21
94,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR138971_MNXM46$1.1.5.4
95,N=C(CC(=O)O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR140916_MNXM46$NOEC
96,O$O=C(O)CC(=O)C(=O)O$MNXR140916_MNXM46$NOEC
97,O=C(O)CC(O)C(=O)O$O=C(O)CC(=O)C(=O)O$MNXR142457_MNXM46$NOEC
,Resultado
0,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$O=P(O)(O)CCO$MNXR112353_MNXM2067$NOEC
1,O=CCP(=O)(O)O$O=P(O)(O)CCO$MNXR112353_MNXM2067$NOEC
2,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(O)C3O)C(O)C2O)C=CC1$O=P(O)(O)CCO$MNXR112901_MNXM2067$1.1.1.309
3,O=CCP(=O)(O)O$O=P(O)(O)CCO$MNXR112901_MNXM2067$1.1.1.309
4,O=P(O)([OH2+])CC=[OH+]$O=P(O)(O)CCO$MNXR135410_MNXM2067$NOEC
,Resultado
0,CC(=O)C(=O)O$O=CC(=O)O$MNXR95618_MNXM69$2.6.1.44
1,NCC(=O)O$O=CC(=O)O$MNXR95618_MNXM69$2.6.1.44
2,O=C(O)C(=O)CC(O)C(=O)O$O=CC(=O)O$MNXR97219_MNXM69$4.1.3.16;4.1.3.42
3,O=C(O)CO$O=CC(=O)O$MNXR100075_MNXM69$NOEC
4,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1$O=CC(=O)O$MNXR100304_MNXM69$NOEC
5,O=C(O)C(=O)O$O=CC(=O)O$MNXR100304_MNXM69$NOEC
6,O=C(O)CO$O=CC(=O)O$MNXR100331_MNXM69$1.1.1.26;1.1.1.29;1.1.1.79
7,O=C(O)CO$O=CC(=O)O$MNXR100338_MNXM69$1.1.3.15
8,O=C(O)CO$O=CC(=O)O$MNXR100339_MNXM69$NOEC
9,O=C(O)CO$O=CC(=O)O$MNXR100340_MNXM69$NOEC
10,O=C(O)CO$O=CC(=O)O$MNXR100341_MNXM69$NOEC
11,NCC(=O)O$O=CC(=O)O$MNXR100352_MNXM69$1.4.3.19;1.4.3.3
12,O$O=CC(=O)O$MNXR100352_MNXM69$1.4.3.19;1.4.3.3
13,NCC(=O)O$O=CC(=O)O$MNXR100364_MNXM69$2.6.1.4;2.6.1.44
14,O=C(O)CCC(=O)C(=O)O$O=CC(=O)O$MNXR100364_MNXM69$2.6.1.4;2.6.1.44
15,O=C(O)CC(C(=O)O)C(O)C(=O)O$O=CC(=O)O$MNXR100789_MNXM69$4.1.3.1
16,NCC(=O)O$O=CC(=O)O$MNXR104361_MNXM69$2.6.1.45
17,O=C(O)C(=O)CO$O=CC(=O)O$MNXR104361_MNXM69$2.6.1.45
18,N=C(O)NC(O)C(=O)O$O=CC(=O)O$MNXR105091_MNXM69$3.5.1.116;3.5.3.19
19,NCC(=O)O$O=CC(=O)O$MNXR106492_MNXM69$1.4.1.1;1.4.1.10
20,O$O=CC(=O)O$MNXR106492_MNXM69$1.4.1.1;1.4.1.10
21,NCC(=O)O$O=CC(=O)O$MNXR106494_MNXM69$2.6.1.35
22,O=C(O)CC(=O)C(=O)O$O=CC(=O)O$MNXR106494_MNXM69$2.6.1.35
23,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c([NH3+])ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)C(=O)O$O=CC(=O)O$MNXR106544_MNXM69$1.2.1.17
24,O=C(O)C(=O)CC(O)C(=O)O$O=CC(=O)O$MNXR106545_MNXM69$4.1.3.16
25,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(O)C(=O)O$O=CC(=O)O$MNXR106546_MNXM69$4.1.3.24
26,O=C(O)CO$O=CC(=O)O$MNXR106548_MNXM69$1.1.3.15;1.1.99.14
27,O=C(O)C(=O)C(C(=O)O)C(O)C(=O)O$O=CC(=O)O$MNXR106549_MNXM69$4.1.3.13
28,CSCCC(=O)C(=O)O$O=CC(=O)O$MNXR106627_MNXM69$2.6.1.73
29,NCC(=O)O$O=CC(=O)O$MNXR106627_MNXM69$2.6.1.73
30,N=C(O)NC(O)C(=O)O$O=CC(=O)O$MNXR106681_MNXM69$4.3.2.3
31,CC(C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)O$O=CC(=O)O$MNXR106758_MNXM69$4.1.3.24
32,NCC(=O)O$O=CC(=O)O$MNXR107249_MNXM69$2.6.1.63
33,Nc1ccccc1C(=O)CC(=O)C(=O)O$O=CC(=O)O$MNXR107249_MNXM69$2.6.1.63
34,O=C(O)COc1cc(Cl)c(Cl)cc1Cl$O=CC(=O)O$MNXR109566_MNXM69$1.14.13.-
35,O=O$O=CC(=O)O$MNXR109566_MNXM69$1.14.13.-
36,O=C(O)COc1ccc(Cl)cc1Cl$O=CC(=O)O$MNXR109567_MNXM69$1.14.11;1.14.11.-
37,O=O$O=CC(=O)O$MNXR109567_MNXM69$1.14.11;1.14.11.-
38,O=C(O)COc1ccc(Cl)cc1$O=CC(=O)O$MNXR109631_MNXM69$1.14.11.-
39,O=O$O=CC(=O)O$MNXR109631_MNXM69$1.14.11.-
40,CNCC(=O)O$O=CC(=O)O$MNXR109895_MNXM69$1.4.3.19
41,O$O=CC(=O)O$MNXR109895_MNXM69$1.4.3.19
42,CCNCC(=O)O$O=CC(=O)O$MNXR109896_MNXM69$1.4.3.19
43,O$O=CC(=O)O$MNXR109896_MNXM69$1.4.3.19
44,CN=C(O)N(C)C1N=C(O)N(C)C1=O$O=CC(=O)O$MNXR111565_MNXM69$NOEC
45,O$O=CC(=O)O$MNXR111565_MNXM69$NOEC
46,ClC=C(Cl)Cl$O=CC(=O)O$MNXR112588_MNXM69$1.14.12.11
47,O$O=CC(=O)O$MNXR112588_MNXM69$1.14.12.11
48,O=O$O=CC(=O)O$MNXR112588_MNXM69$1.14.12.11
49,NC(C(=O)O)C(O)C(=O)O$O=CC(=O)O$MNXR113129_MNXM69$4.1.3.41
50,NC(C(=O)O)C(O)C(=O)O$O=CC(=O)O$MNXR113130_MNXM69$4.1.3.41
51,O=C(O)CN(CC(=O)O)CC(=O)O$O=CC(=O)O$MNXR113201_MNXM69$1.14.14.10
52,O=O$O=CC(=O)O$MNXR113201_MNXM69$1.14.14.10
53,NCC(=O)O$O=CC(=O)O$MNXR113545_MNXM69$2.6.1.96
54,O=CCCC(=O)O$O=CC(=O)O$MNXR113545_MNXM69$2.6.1.96
55,N=CC(=O)O$O=CC(=O)O$MNXR113603_MNXM69$1.4.3.19
56,O$O=CC(=O)O$MNXR113603_MNXM69$1.4.3.19
57,O=C(O)C(=O)CC(O)C(=O)O$O=CC(=O)O$MNXR113640_MNXM69$4.1.3.16;4.1.3.42
58,N=C(O)N=C(O)C(=O)O$O=CC(=O)O$MNXR114220_MNXM69$2.6.1.-
59,NCC(=O)O$O=CC(=O)O$MNXR114220_MNXM69$2.6.1.-
60,O$O=CC(=O)O$MNXR114648_MNXM69$1.2.3.15
61,O=CC=O$O=CC(=O)O$MNXR114648_MNXM69$1.2.3.15
62,O=C(O)CNCP(=O)(O)O$O=CC(=O)O$MNXR114780_MNXM69$1.5.3.23;1.5.3.k
63,O=O$O=CC(=O)O$MNXR114780_MNXM69$1.5.3.23;1.5.3.k
64,N=C(O)CC(=O)C(=O)O$O=CC(=O)O$MNXR115726_MNXM69$2.6.1
65,NCC(=O)O$O=CC(=O)O$MNXR115726_MNXM69$2.6.1
66,O=C(O)CO$O=CC(=O)O$MNXR115944_MNXM69$1.1.99.14
67,O=C(O)CC(C(=O)O)C(O)C(=O)O$O=CC(=O)O$MNXR115982_MNXM69$4.1.3.1
68,CN=C(O)NC(C(=O)O)N(C)C(O)=NC$O=CC(=O)O$MNXR120845_MNXM69$NOEC
69,O$O=CC(=O)O$MNXR120845_MNXM69$NOEC
70,O$O=CC(=O)O$MNXR121292_MNXM69$1.4.3.19
71,O=C(O)CNCP(=O)(O)O$O=CC(=O)O$MNXR121292_MNXM69$1.4.3.19
72,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O$O=CC(=O)O$MNXR121636_MNXM69$NOEC
73,O$O=CC(=O)O$MNXR121636_MNXM69$NOEC
74,O$O=CC(=O)O$MNXR122946_MNXM69$NOEC
75,O=C(O)CNCC(=O)O$O=CC(=O)O$MNXR122946_MNXM69$NOEC
76,Cc1cc(Cl)ccc1OCC(=O)O$O=CC(=O)O$MNXR123038_MNXM69$1.14.11
77,O=O$O=CC(=O)O$MNXR123038_MNXM69$1.14.11
78,Cc1ccc(OCC(=O)O)c(Cl)c1$O=CC(=O)O$MNXR123064_MNXM69$1.14.11
79,O=O$O=CC(=O)O$MNXR123064_MNXM69$1.14.11
80,O=C(O)CO$O=CC(=O)O$MNXR123402_MNXM69$1.1.99.14
81,NCC(=O)O$O=CC(=O)O$MNXR125896_MNXM69$1.4.2.1
82,O$O=CC(=O)O$MNXR125896_MNXM69$1.4.2.1
83,O=C(O)CO$O=CC(=O)O$MNXR126073_MNXM69$1.1.99.14
84,N=C(O)NC(N)C(=O)O$O=CC(=O)O$MNXR126700_MNXM69$NOEC
85,O$O=CC(=O)O$MNXR126700_MNXM69$NOEC
86,CC(C(=O)O)C(O)C(=O)O$O=CC(=O)O$MNXR128690_MNXM69$NOEC
87,O$O=CC(=O)O$MNXR129351_MNXM69$1.2.1.49
88,O=CC=O$O=CC(=O)O$MNXR129351_MNXM69$1.2.1.49
89,O$O=CC(=O)O$MNXR129382_MNXM69$1.2.1.23
90,O=CC=O$O=CC(=O)O$MNXR129382_MNXM69$1.2.1.23
91,N=C(O)CCC(=O)C(=O)O$O=CC(=O)O$MNXR129610_MNXM69$2.6.1.15;2.6.1.39
92,NCC(=O)O$O=CC(=O)O$MNXR129610_MNXM69$2.6.1.15;2.6.1.39
93,NCC(=O)O$O=CC(=O)O$MNXR132485_MNXM69$2.6.1.39
94,O=C(O)CCCC(=O)C(=O)O$O=CC(=O)O$MNXR132485_MNXM69$2.6.1.39
95,NCC(=O)O$O=CC(=O)O$MNXR132486_MNXM69$2.6.1.7
96,O=C(O)C(=O)Cc1ccc(O)cc1$O=CC(=O)O$MNXR132486_MNXM69$2.6.1.7
97,NCC(=O)O$O=CC(=O)O$MNXR132487_MNXM69$2.6.1.7
98,O=C(O)C(=O)Cc1c[nH]c2ccccc12$O=CC(=O)O$MNXR132487_MNXM69$2.6.1.7
99,CC(C)CC(=O)C(=O)O$O=CC(=O)O$MNXR132488_MNXM69$2.6.1.7
100,NCC(=O)O$O=CC(=O)O$MNXR132488_MNXM69$2.6.1.7
101,NCC(=O)O$O=CC(=O)O$MNXR132489_MNXM69$2.6.1.7
102,Nc1c(O)cccc1C(=O)CC(=O)C(=O)O$O=CC(=O)O$MNXR132489_MNXM69$2.6.1.7
103,O=C(O)COc1cc(Cl)c(Cl)cc1Cl$O=CC(=O)O$MNXR134550_MNXM69$NOEC
104,O=C(O)COc1ccc(Cl)cc1$O=CC(=O)O$MNXR134567_MNXM69$NOEC
105,NCC(=O)O$O=CC(=O)O$MNXR138972_MNXM69$1.4.2.1
106,O$O=CC(=O)O$MNXR138972_MNXM69$1.4.2.1
107,NCC(=O)O$O=CC(=O)O$MNXR140080_MNXM69$1.4.2.1
108,O$O=CC(=O)O$MNXR140080_MNXM69$1.4.2.1
109,N=C(O)NC(O)C(=O)O$O=CC(=O)O$MNXR141510_MNXM69$3.5.3.4;4.3.2.3
110,N=C(O)NC(O)C(=O)O$O=CC(=O)O$MNXR141836_MNXM69$3.5.3.19
,Resultado
0,O$O=C(O)CO$MNXR100060_MNXM222$1.2.1.21
1,O=CCO$O=C(O)CO$MNXR100060_MNXM222$1.2.1.21
2,O=C([OH2+])C=[OH+]$O=C(O)CO$MNXR100075_MNXM222$NOEC
3,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(O)C3O)C(O)C2O)C=CC1$O=C(O)CO$MNXR100331_MNXM222$1.1.1.26;1.1.1.29;1.1.1.79
4,O=CC(=O)O$O=C(O)CO$MNXR100331_MNXM222$1.1.1.26;1.1.1.29;1.1.1.79
5,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$O=C(O)CO$MNXR100332_MNXM222$1.1.1.79
6,O=CC(=O)O$O=C(O)CO$MNXR100332_MNXM222$1.1.1.79
7,COc1c(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c(O)c1OC$O=C(O)CO$MNXR100339_MNXM222$NOEC
8,O=CC(=O)O$O=C(O)CO$MNXR100339_MNXM222$NOEC
9,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1c(C)c(O)c2ccccc2c1O$O=C(O)CO$MNXR100340_MNXM222$NOEC
10,O=CC(=O)O$O=C(O)CO$MNXR100340_MNXM222$NOEC
11,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(O)c2ccccc2c1O$O=C(O)CO$MNXR100341_MNXM222$NOEC
12,O=CC(=O)O$O=C(O)CO$MNXR100341_MNXM222$NOEC
13,O$O=C(O)CO$MNXR102543_MNXM222$3.1.3.18
14,O=C(O)COP(=O)(O)O$O=C(O)CO$MNXR102543_MNXM222$3.1.3.18
15,O=C([OH2+])C=[OH+]$O=C(O)CO$MNXR106548_MNXM222$1.1.3.15;1.1.99.14
16,O$O=C(O)CO$MNXR106929_MNXM222$3.7.1.-
17,O=C(CO)CC(=O)C(=O)O$O=C(O)CO$MNXR106929_MNXM222$3.7.1.-
18,O=C(O)COC(CC(=O)O)C(=O)O$O=C(O)CO$MNXR106930_MNXM222$4.2.99.12
19,O$O=C(O)CO$MNXR107779_MNXM222$3.8.1.3
20,O=C(O)CF$O=C(O)CO$MNXR107779_MNXM222$3.8.1.3
21,O$O=C(O)CO$MNXR109458_MNXM222$3.8.1.2;3.8.1.3
22,O=C(O)CCl$O=C(O)CO$MNXR109458_MNXM222$3.8.1.2;3.8.1.3
23,O=C([OH2+])C=[OH+]$O=C(O)CO$MNXR121144_MNXM222$NOEC
24,O$O=C(O)CO$MNXR123397_MNXM222$4.2.1
25,O=CC=O$O=C(O)CO$MNXR123397_MNXM222$4.2.1
26,O=C([OH2+])C=[OH+]$O=C(O)CO$MNXR126073_MNXM222$1.1.99.14
27,O$O=C(O)CO$MNXR130120_MNXM222$1.2.1.19;1.2.1.21
28,O=CCO$O=C(O)CO$MNXR130120_MNXM222$1.2.1.19;1.2.1.21
29,O$O=C(O)CO$MNXR142155_MNXM222$NOEC
30,O=C(CO)CC(=O)C(=O)O$O=C(O)CO$MNXR142155_MNXM222$NOEC
,Resultado
0,[NH3+]c1c[nH+]cn1C1OC(COP(=O)(O)O)C(O)C1O$O=CCO$MNXR95632_MNXM349$NOEC
1,Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O$O=CCO$MNXR95633_MNXM349$NOEC
2,O$O=CCO$MNXR95633_MNXM349$NOEC
3,N=c1nc(O)c2c([nH]1)NCC(C(O)C(O)CO)=N2$O=CCO$MNXR97415_MNXM349$4.1.2.25
4,O=C(COP(=O)(O)O)C(O)C(O)CO$O=CCO$MNXR99462_MNXM349$4.1.2.19
5,O=C(O)C(=O)CO$O=CCO$MNXR100700_MNXM349$4.1.1.40
6,NCCO$O=CCO$MNXR107012_MNXM349$1.4.3.8
7,O$O=CCO$MNXR107012_MNXM349$1.4.3.8
8,OCCO$O=CCO$MNXR107167_MNXM349$1.1.1.77
9,O=C(O)C(=O)CC(O)CO$O=CCO$MNXR107168_MNXM349$4.1.2.28
10,O=C(O)C(=O)CC(O)CO$O=CCO$MNXR107169_MNXM349$4.1.2.18
11,COc1ccc(C(O)C(CO)Oc2ccccc2OC)cc1OC$O=CCO$MNXR114795_MNXM349$1.11.1.14
12,OO$O=CCO$MNXR114795_MNXM349$1.11.1.14
13,COc1cc(C(O)C(CO)Oc2ccccc2OC)ccc1O$O=CCO$MNXR114797_MNXM349$1.11.1.16
14,OO$O=CCO$MNXR114797_MNXM349$1.11.1.16
15,O=C(COP(=O)(O)O)C(O)C(O)CO$O=CCO$MNXR115814_MNXM349$NOEC
16,O=C(O)C(O)C(O)C(O)C(=O)CO$O=CCO$MNXR117348_MNXM349$NOEC
17,NC(C(=O)O)C(O)CO$O=CCO$MNXR123321_MNXM349$4.1.2
18,N=c1nc(O)c2c([nH]1)NCC(C(O)C(O)CO)=N2$O=CCO$MNXR125603_MNXM349$4.1.2.25
19,N=c1nc(O)c2c([nH]1)NCC(C(O)C(O)CO)=N2$O=CCO$MNXR128312_MNXM349$1.13.11.81
20,N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c([NH3+])ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1$O=CCO$MNXR129355_MNXM349$1.1.1.156;1.1.1.21;1.1.1.283;1.1.1.72
21,O=CC=O$O=CCO$MNXR129355_MNXM349$1.1.1.156;1.1.1.21;1.1.1.283;1.1.1.72
22,O=C(COP(=O)(O)O)C(O)C(O)CO$O=CCO$MNXR133850_MNXM349$4.1.2.13
23,NCCO$O=CCO$MNXR133915_MNXM349$1.4.9.1
24,O$O=CCO$MNXR133915_MNXM349$1.4.9.1
25,[NH3+]c1c[nH+]cn1C1OC(COP(=O)(O)O)C(O)C1O$O=CCO$MNXR136111_MNXM349$NOEC
26,Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O$O=CCO$MNXR136143_MNXM349$NOEC
27,O$O=CCO$MNXR136143_MNXM349$NOEC
